======================================================================
EVALUATION RESULTS - CORRECT VERSION
======================================================================

Model: resnet18
Checkpoint: ./model/resnet18-unet-ori/resnet18_best_dice.pth
Test set: ./dataset/augmented/test
Num samples: 522
Mask encoding: 0=background, >0=disease

IOU: 0.1848 ± 0.1675
DICE: 0.2821 ± 0.2137
ACCURACY: 0.4698 ± 0.2160
PRECISION: 0.2003 ± 0.1935
RECALL: 0.8923 ± 0.1944
F1: 0.2821 ± 0.2137


PER-IMAGE RESULTS:
Name                 IoU     Dice      Acc     Prec   Recall       F1
----------------------------------------------------------------------
00006             0.1387   0.2436   0.8106   0.1533   0.5933   0.2436
00006_style0      0.0688   0.1287   0.3372   0.0690   0.9523   0.1287
00006_style1      0.0655   0.1229   0.2661   0.0655   1.0000   0.1229
00006_style2      0.0526   0.0999   0.0820   0.0526   0.9907   0.0999
00006_style3      0.0554   0.1050   0.1242   0.0554   1.0000   0.1050
00006_style4      0.0618   0.1163   0.4684   0.0636   0.6809   0.1163
00006_style5      0.0600   0.1132   0.2880   0.0605   0.8845   0.1132
00006_style6      0.0727   0.1355   0.3598   0.0728   0.9763   0.1355
00006_style7      0.0952   0.1738   0.6836   0.1004   0.6475   0.1738
00025             0.1292   0.2289   0.7166   0.1295   0.9837   0.2289
00025_style0      0.0635   0.1195   0.3865   0.0636   0.9734   0.1195
00025_style1      0.0499   0.0951   0.1867   0.0499   1.0000   0.0951
00025_style2      0.0479   0.0913   0.1495   0.0479   1.0000   0.0913
00025_style3      0.0467   0.0892   0.1266   0.0467   1.0000   0.0892
00025_style4      0.0796   0.1475   0.5139   0.0797   0.9837   0.1475
00025_style5      0.0717   0.1338   0.4494   0.0717   0.9944   0.1338
00025_style6      0.0645   0.1213   0.3804   0.0645   1.0000   0.1213
00025_style7      0.0968   0.1765   0.7383   0.1020   0.6559   0.1765
00027             0.4491   0.6198   0.9497   0.4566   0.9644   0.6198
00027_style0      0.0813   0.1503   0.5193   0.0813   1.0000   0.1503
00027_style1      0.0563   0.1065   0.2866   0.0563   1.0000   0.1065
00027_style2      0.0604   0.1139   0.3385   0.0604   1.0000   0.1139
00027_style3      0.0576   0.1090   0.3044   0.0576   1.0000   0.1090
00027_style4      0.0896   0.1645   0.5679   0.0896   1.0000   0.1645
00027_style5      0.0916   0.1678   0.5781   0.0916   1.0000   0.1678
00027_style6      0.0777   0.1442   0.4950   0.0777   1.0000   0.1442
00027_style7      0.0737   0.1372   0.6463   0.0765   0.6612   0.1372
00030             0.3475   0.5157   0.8287   0.5116   0.5200   0.5157
00030_style0      0.2641   0.4178   0.5351   0.2678   0.9508   0.4178
00030_style1      0.2230   0.3647   0.3942   0.2235   0.9913   0.3647
00030_style2      0.2093   0.3462   0.3373   0.2093   1.0000   0.3462
00030_style3      0.2547   0.4060   0.4941   0.2557   0.9853   0.4060
00030_style4      0.2792   0.4365   0.5740   0.2842   0.9403   0.4365
00030_style5      0.2582   0.4104   0.5239   0.2621   0.9443   0.4104
00030_style6      0.2540   0.4051   0.4953   0.2554   0.9793   0.4051
00030_style7      0.2977   0.4588   0.7190   0.3465   0.6790   0.4588
00032             0.0124   0.0244   0.8393   0.0130   0.1988   0.0244
00032_style0      0.0127   0.0250   0.3453   0.0127   0.8307   0.0250
00032_style1      0.0121   0.0239   0.1734   0.0121   1.0000   0.0239
00032_style2      0.0110   0.0218   0.1200   0.0110   0.9705   0.0218
00032_style3      0.0109   0.0216   0.0838   0.0109   1.0000   0.0216
00032_style4      0.0120   0.0237   0.4126   0.0121   0.7047   0.0237
00032_style5      0.0119   0.0234   0.3288   0.0119   0.7953   0.0234
00032_style6      0.0132   0.0260   0.3785   0.0132   0.8189   0.0260
00032_style7      0.0336   0.0651   0.8053   0.0342   0.6693   0.0651
00044             0.3234   0.4887   0.7765   0.3768   0.6952   0.4887
00044_style0      0.2328   0.3777   0.4938   0.2328   1.0000   0.3777
00044_style1      0.1886   0.3174   0.3440   0.1889   0.9930   0.3174
00044_style2      0.1831   0.3096   0.3149   0.1831   1.0000   0.3096
00044_style3      0.1721   0.2936   0.2609   0.1721   1.0000   0.2936
00044_style4      0.2846   0.4431   0.6423   0.2912   0.9264   0.4431
00044_style5      0.2745   0.4307   0.6130   0.2782   0.9532   0.4307
00044_style6      0.2570   0.4089   0.5683   0.2589   0.9722   0.4089
00044_style7      0.2731   0.4290   0.7519   0.3318   0.6069   0.4290
00046             0.2367   0.3827   0.7315   0.2691   0.6628   0.3827
00046_style0      0.1962   0.3281   0.4856   0.1962   1.0000   0.3281
00046_style1      0.1568   0.2711   0.3248   0.1568   1.0000   0.2711
00046_style2      0.1421   0.2488   0.2416   0.1421   1.0000   0.2488
00046_style3      0.1450   0.2532   0.2593   0.1450   1.0000   0.2532
00046_style4      0.1838   0.3105   0.4922   0.1872   0.9106   0.3105
00046_style5      0.2155   0.3546   0.5501   0.2163   0.9843   0.3546
00046_style6      0.2000   0.3334   0.4978   0.2000   1.0000   0.3334
00046_style7      0.2056   0.3411   0.6467   0.2227   0.7283   0.3411
00071             0.3356   0.5026   0.8594   0.3620   0.8218   0.5026
00071_style0      0.1468   0.2560   0.4976   0.1468   1.0000   0.2560
00071_style1      0.1098   0.1979   0.2995   0.1098   1.0000   0.1979
00071_style2      0.1126   0.2023   0.3185   0.1126   1.0000   0.2023
00071_style3      0.1163   0.2083   0.3430   0.1163   1.0000   0.2083
00071_style4      0.1494   0.2600   0.5659   0.1524   0.8822   0.2600
00071_style5      0.1286   0.2279   0.4229   0.1289   0.9857   0.2279
00071_style6      0.1294   0.2291   0.4307   0.1297   0.9788   0.2291
00071_style7      0.2114   0.3490   0.7625   0.2287   0.7365   0.3490
00080             0.3073   0.4701   0.8202   0.3389   0.7671   0.4701
00080_style0      0.1289   0.2284   0.3014   0.1290   0.9942   0.2284
00080_style1      0.1178   0.2108   0.2213   0.1178   1.0000   0.2108
00080_style2      0.1133   0.2035   0.1860   0.1133   1.0000   0.2035
00080_style3      0.1188   0.2124   0.2288   0.1188   1.0000   0.2124
00080_style4      0.1863   0.3141   0.5886   0.1900   0.9061   0.3141
00080_style5      0.1298   0.2298   0.3156   0.1301   0.9822   0.2298
00080_style6      0.1518   0.2636   0.4191   0.1518   1.0000   0.2636
00080_style7      0.0870   0.1601   0.6526   0.1069   0.3184   0.1601
00081             0.5635   0.7208   0.8573   0.5635   1.0000   0.7208
00081_style0      0.3731   0.5434   0.6903   0.3731   1.0000   0.5434
00081_style1      0.2387   0.3853   0.4121   0.2387   1.0000   0.3853
00081_style2      0.2233   0.3650   0.3589   0.2233   1.0000   0.3650
00081_style3      0.2337   0.3789   0.3958   0.2337   1.0000   0.3789
