======================================================================
EVALUATION RESULTS - CORRECT VERSION
======================================================================

Model: resnet18-aug
Checkpoint: ./model/resnet18-unet-aug/resnet18_best_dice.pth
Test set: ./dataset/augmented/test
Num samples: 522
Mask encoding: 0=background, >0=disease

IOU: 0.2748 ± 0.2088
DICE: 0.3915 ± 0.2452
ACCURACY: 0.7018 ± 0.1991
PRECISION: 0.3112 ± 0.2453
RECALL: 0.8248 ± 0.2012
F1: 0.3915 ± 0.2452


PER-IMAGE RESULTS:
Name                 IoU     Dice      Acc     Prec   Recall       F1
----------------------------------------------------------------------
00006             0.1395   0.2449   0.8419   0.1623   0.4986   0.2449
00006_style0      0.1340   0.2363   0.8095   0.1488   0.5735   0.2363
00006_style1      0.0822   0.1519   0.5988   0.0852   0.6991   0.1519
00006_style2      0.0453   0.0867   0.3182   0.0466   0.6297   0.0867
00006_style3      0.0750   0.1395   0.6165   0.0788   0.6049   0.1395
00006_style4      0.2240   0.3660   0.9091   0.2853   0.5103   0.3660
00006_style5      0.0947   0.1731   0.7458   0.1039   0.5176   0.1731
00006_style6      0.2318   0.3764   0.9049   0.2839   0.5584   0.3764
00006_style7      0.1733   0.2953   0.8912   0.2214   0.4436   0.2953
00025             0.1406   0.2465   0.7687   0.1432   0.8848   0.2465
00025_style0      0.1351   0.2381   0.7692   0.1386   0.8434   0.2381
00025_style1      0.0551   0.1045   0.2669   0.0551   1.0000   0.1045
00025_style2      0.0504   0.0960   0.1946   0.0504   1.0000   0.0960
00025_style3      0.0965   0.1761   0.6464   0.0978   0.8839   0.1761
00025_style4      0.1219   0.2174   0.7191   0.1234   0.9124   0.2174
00025_style5      0.1256   0.2232   0.7463   0.1284   0.8527   0.2232
00025_style6      0.1199   0.2141   0.7172   0.1215   0.9012   0.2141
00025_style7      0.1263   0.2243   0.7705   0.1311   0.7762   0.2243
00027             0.5477   0.7078   0.9654   0.5519   0.9864   0.7078
00027_style0      0.1402   0.2459   0.7391   0.1402   1.0000   0.2459
00027_style1      0.0658   0.1235   0.3966   0.0658   1.0000   0.1235
00027_style2      0.0977   0.1780   0.6072   0.0977   1.0000   0.1780
00027_style3      0.1035   0.1876   0.6315   0.1035   1.0000   0.1876
00027_style4      0.2106   0.3479   0.8406   0.2106   1.0000   0.3479
00027_style5      0.3895   0.5606   0.9342   0.3916   0.9864   0.5606
00027_style6      0.3780   0.5487   0.9301   0.3782   0.9986   0.5487
00027_style7      0.3018   0.4637   0.9029   0.3031   0.9864   0.4637
00030             0.3624   0.5320   0.7427   0.3907   0.8333   0.5320
00030_style0      0.3085   0.4715   0.7063   0.3446   0.7467   0.4715
00030_style1      0.2332   0.3783   0.4389   0.2348   0.9727   0.3783
00030_style2      0.2495   0.3993   0.5439   0.2597   0.8639   0.3993
00030_style3      0.3037   0.4659   0.6441   0.3162   0.8846   0.4659
00030_style4      0.3403   0.5077   0.7283   0.3722   0.7986   0.5077
00030_style5      0.3245   0.4900   0.7000   0.3492   0.8214   0.4900
00030_style6      0.3246   0.4901   0.6962   0.3474   0.8321   0.4901
00030_style7      0.2700   0.4252   0.7209   0.3329   0.5884   0.4252
00032             0.0177   0.0348   0.7631   0.0181   0.4213   0.0348
00032_style0      0.0244   0.0477   0.8178   0.0252   0.4508   0.0477
00032_style1      0.0165   0.0324   0.4674   0.0165   0.8819   0.0324
00032_style2      0.0122   0.0241   0.2708   0.0122   0.8878   0.0241
00032_style3      0.0147   0.0289   0.5584   0.0148   0.6496   0.0289
00032_style4      0.0198   0.0389   0.6464   0.0200   0.7067   0.0389
00032_style5      0.0179   0.0352   0.6853   0.0182   0.5669   0.0352
00032_style6      0.0145   0.0286   0.6659   0.0147   0.4862   0.0286
00032_style7      0.0058   0.0116   0.8509   0.0062   0.0866   0.0116
00044             0.3540   0.5229   0.8630   0.5622   0.4888   0.5229
00044_style0      0.3988   0.5702   0.8903   0.7157   0.4739   0.5702
00044_style1      0.2501   0.4001   0.5498   0.2515   0.9774   0.4001
00044_style2      0.3640   0.5337   0.7438   0.3704   0.9546   0.5337
00044_style3      0.4897   0.6574   0.8920   0.6413   0.6745   0.6574
00044_style4      0.3241   0.4895   0.8516   0.5188   0.4633   0.4895
00044_style5      0.3120   0.4756   0.8753   0.6712   0.3682   0.4756
00044_style6      0.4075   0.5791   0.8770   0.6102   0.5509   0.5791
00044_style7      0.2491   0.3989   0.8247   0.4214   0.3786   0.3989
00046             0.2876   0.4467   0.7207   0.2973   0.8976   0.4467
00046_style0      0.2912   0.4510   0.7221   0.2999   0.9091   0.4510
00046_style1      0.1409   0.2470   0.2345   0.1409   1.0000   0.2470
00046_style2      0.1518   0.2636   0.3002   0.1519   0.9971   0.2636
00046_style3      0.1756   0.2988   0.4105   0.1756   1.0000   0.2988
00046_style4      0.2420   0.3897   0.6820   0.2567   0.8084   0.3897
00046_style5      0.2942   0.4546   0.7794   0.3297   0.7321   0.4546
00046_style6      0.2631   0.4166   0.6514   0.2637   0.9911   0.4166
00046_style7      0.2186   0.3587   0.7904   0.2913   0.4669   0.3587
00071             0.3841   0.5550   0.8895   0.4258   0.7969   0.5550
00071_style0      0.1932   0.3238   0.6390   0.1932   1.0000   0.3238
00071_style1      0.1034   0.1875   0.2507   0.1034   1.0000   0.1875
00071_style2      0.1555   0.2691   0.5305   0.1555   1.0000   0.2691
00071_style3      0.1697   0.2901   0.5770   0.1697   1.0000   0.2901
00071_style4      0.3003   0.4619   0.8309   0.3186   0.8398   0.4619
00071_style5      0.3489   0.5173   0.8758   0.3895   0.7701   0.5173
00071_style6      0.2423   0.3901   0.7307   0.2425   0.9965   0.3901
00071_style7      0.3253   0.4909   0.8507   0.3480   0.8331   0.4909
00080             0.2811   0.4388   0.8124   0.3185   0.7056   0.4388
00080_style0      0.2755   0.4320   0.7959   0.3040   0.7462   0.4320
00080_style1      0.1397   0.2452   0.3598   0.1397   1.0000   0.2452
00080_style2      0.1316   0.2326   0.3238   0.1319   0.9856   0.2326
00080_style3      0.1748   0.2976   0.6206   0.1842   0.7729   0.2976
00080_style4      0.5118   0.6771   0.9314   0.6634   0.6914   0.6771
00080_style5      0.2848   0.4433   0.8064   0.3162   0.7414   0.4433
00080_style6      0.4697   0.6392   0.8956   0.4988   0.8894   0.6392
00080_style7      0.3557   0.5247   0.8451   0.3853   0.8223   0.5247
00081             0.5486   0.7085   0.8484   0.5486   1.0000   0.7085
00081_style0      0.6459   0.7849   0.9130   0.7212   0.8609   0.7849
00081_style1      0.3756   0.5460   0.7009   0.3791   0.9760   0.5460
00081_style2      0.2963   0.4571   0.5623   0.2963   1.0000   0.4571
00081_style3      0.4703   0.6397   0.8012   0.4802   0.9578   0.6397
00081_style4      0.5201   0.6843   0.8320   0.5234   0.9883   0.6843
00081_style5      0.6313   0.7740   0.8985   0.6564   0.9429   0.7740
00081_style6      0.5945   0.7457   0.8888   0.6442   0.8852   0.7457
00081_style7      0.5129   0.6780   0.8251   0.5131   0.9990   0.6780
00089             0.2854   0.4441   0.7568   0.3514   0.6030   0.4441
00089_style0      0.2446   0.3931   0.7379   0.3135   0.5270   0.3931
00089_style1      0.1851   0.3123   0.2907   0.1851   1.0000   0.3123
00089_style2      0.2495   0.3993   0.6770   0.2850   0.6666   0.3993
00089_style3      0.2529   0.4037   0.7205   0.3076   0.5872   0.4037
00089_style4      0.2179   0.3579   0.7149   0.2808   0.4933   0.3579
00089_style5      0.2321   0.3767   0.7628   0.3266   0.4449   0.3767
00089_style6      0.2345   0.3799   0.7136   0.2917   0.5446   0.3799
00089_style7      0.2936   0.4539   0.7839   0.3827   0.5575   0.4539
00094             0.1907   0.3204   0.8365   0.2836   0.3681   0.3204
00094_style0      0.2070   0.3430   0.7183   0.2269   0.7028   0.3430
00094_style1      0.1590   0.2744   0.4810   0.1607   0.9375   0.2744
00094_style2      0.1389   0.2439   0.3566   0.1391   0.9914   0.2439
00094_style3      0.2865   0.4454   0.7844   0.3048   0.8271   0.4454
00094_style4      0.2534   0.4044   0.8698   0.3881   0.4221   0.4044
00094_style5      0.3073   0.4701   0.8858   0.4569   0.4840   0.4701
00094_style6      0.2878   0.4469   0.8587   0.3785   0.5455   0.4469
00094_style7      0.1647   0.2828   0.8492   0.2815   0.2841   0.2828
00095             0.5537   0.7127   0.9732   0.5642   0.9675   0.7127
00095_style0      0.2110   0.3485   0.8747   0.2121   0.9762   0.3485
00095_style1      0.0535   0.1015   0.3923   0.0535   1.0000   0.1015
00095_style2      0.0455   0.0871   0.3016   0.0456   0.9710   0.0871
00095_style3      0.3120   0.4756   0.9326   0.3245   0.8902   0.4756
00095_style4      0.6996   0.8233   0.9862   0.7365   0.9332   0.8233
00095_style5      0.3750   0.5454   0.9437   0.3771   0.9849   0.5454
00095_style6      0.5903   0.7424   0.9779   0.6187   0.9280   0.7424
00095_style7      0.6388   0.7796   0.9831   0.7063   0.8699   0.7796
00099             0.4990   0.6658   0.6961   0.5063   0.9720   0.6658
00099_style0      0.3942   0.5655   0.6918   0.5041   0.6438   0.5655
00099_style1      0.4177   0.5893   0.6236   0.4463   0.8670   0.5893
00099_style2      0.3683   0.5383   0.4659   0.3683   1.0000   0.5383
00099_style3      0.4124   0.5840   0.5574   0.4129   0.9976   0.5840
00099_style4      0.5435   0.7042   0.7701   0.5875   0.8789   0.7042
00099_style5      0.4762   0.6451   0.7119   0.5233   0.8409   0.6451
00099_style6      0.4914   0.6590   0.7443   0.5636   0.7932   0.6590
00099_style7      0.5008   0.6674   0.7411   0.5562   0.8341   0.6674
00103             0.3154   0.4795   0.9217   0.4284   0.5445   0.4795
00103_style0      0.0580   0.1096   0.7440   0.0712   0.2380   0.1096
00103_style1      0.0776   0.1441   0.3249   0.0786   0.8577   0.1441
00103_style2      0.0836   0.1542   0.2741   0.0836   0.9991   0.1542
00103_style3      0.0621   0.1170   0.4377   0.0653   0.5623   0.1170
00103_style4      0.2612   0.4142   0.8938   0.3263   0.5668   0.4142
00103_style5      0.2869   0.4458   0.9139   0.3888   0.5226   0.4458
00103_style6      0.1965   0.3285   0.8705   0.2502   0.4783   0.3285
00103_style7      0.1276   0.2263   0.8292   0.1617   0.3770   0.2263
00104             0.2326   0.3774   0.7630   0.2327   0.9986   0.3774
00104_style0      0.1426   0.2496   0.5737   0.1429   0.9856   0.2496
00104_style1      0.0997   0.1813   0.3504   0.0997   1.0000   0.1813
00104_style2      0.0900   0.1651   0.2725   0.0900   1.0000   0.1651
00104_style3      0.1056   0.1911   0.3909   0.1056   1.0000   0.1911
00104_style4      0.1396   0.2450   0.5854   0.1410   0.9349   0.2450
00104_style5      0.4120   0.5836   0.9172   0.4573   0.8064   0.5836
00104_style6      0.1340   0.2363   0.5700   0.1355   0.9247   0.2363
00104_style7      0.2215   0.3627   0.7682   0.2260   0.9169   0.3627
00114             0.6273   0.7709   0.8949   0.6908   0.8722   0.7709
00114_style0      0.4693   0.6388   0.8006   0.5049   0.8694   0.6388
00114_style1      0.2841   0.4425   0.4925   0.2847   0.9930   0.4425
00114_style2      0.2617   0.4148   0.4402   0.2632   0.9783   0.4148
00114_style3      0.3107   0.4741   0.5597   0.3128   0.9788   0.4741
00114_style4      0.5003   0.6670   0.8103   0.5179   0.9365   0.6670
00114_style5      0.5260   0.6894   0.8317   0.5509   0.9210   0.6894
00114_style6      0.4595   0.6297   0.7772   0.4750   0.9339   0.6297
00114_style7      0.5585   0.7167   0.8938   0.7808   0.6623   0.7167
00127             0.3084   0.4714   0.8760   0.3158   0.9293   0.4714
00127_style0      0.1195   0.2135   0.5620   0.1195   0.9990   0.2135
00127_style1      0.0644   0.1209   0.1523   0.0645   0.9799   0.1209
00127_style2      0.1091   0.1968   0.5336   0.1096   0.9601   0.1968
00127_style3      0.1116   0.2008   0.5264   0.1116   1.0000   0.2008
00127_style4      0.1589   0.2743   0.6853   0.1590   0.9993   0.2743
00127_style5      0.2247   0.3669   0.8043   0.2272   0.9531   0.3669
00127_style6      0.1640   0.2818   0.7087   0.1651   0.9601   0.2818
00127_style7      0.1818   0.3077   0.7514   0.1844   0.9283   0.3077
00142             0.4068   0.5783   0.9459   0.4563   0.7894   0.5783
00142_style0      0.1606   0.2767   0.7541   0.1606   1.0000   0.2767
00142_style1      0.0642   0.1206   0.3146   0.0642   0.9992   0.1206
00142_style2      0.0963   0.1756   0.5585   0.0963   1.0000   0.1756
00142_style3      0.1691   0.2893   0.7695   0.1692   0.9975   0.2893
00142_style4      0.2160   0.3553   0.8308   0.2164   0.9911   0.3553
00142_style5      0.3433   0.5112   0.9150   0.3504   0.9449   0.5112
00142_style6      0.2482   0.3977   0.8603   0.2494   0.9805   0.3977
00142_style7      0.3257   0.4914   0.9261   0.3632   0.7593   0.4914
00159             0.4437   0.6147   0.9395   0.4904   0.8233   0.6147
00159_style0      0.1265   0.2247   0.6000   0.1267   0.9881   0.2247
00159_style1      0.0877   0.1612   0.3897   0.0877   1.0000   0.1612
00159_style2      0.1096   0.1976   0.5237   0.1096   1.0000   0.1976
00159_style3      0.1213   0.2163   0.5751   0.1213   1.0000   0.2163
00159_style4      0.2848   0.4433   0.8634   0.2913   0.9269   0.4433
00159_style5      0.3479   0.5162   0.9276   0.4246   0.6582   0.5162
00159_style6      0.2869   0.4459   0.8807   0.3064   0.8186   0.4459
00159_style7      0.3228   0.4881   0.8880   0.3334   0.9103   0.4881
00163             0.5265   0.6898   0.8396   0.7420   0.6445   0.6898
00163_style0      0.7208   0.8377   0.9062   0.8037   0.8747   0.8377
00163_style1      0.3234   0.4888   0.4245   0.3240   0.9945   0.4888
00163_style2      0.4260   0.5975   0.6307   0.4278   0.9905   0.5975
00163_style3      0.5263   0.6896   0.7529   0.5285   0.9921   0.6896
00163_style4      0.5514   0.7109   0.8574   0.8097   0.6335   0.7109
00163_style5      0.5757   0.7307   0.8568   0.7615   0.7023   0.7307
00163_style6      0.5712   0.7271   0.8389   0.6845   0.7753   0.7271
00163_style7      0.3901   0.5612   0.8234   0.8975   0.4083   0.5612
00166             0.7979   0.8876   0.9519   0.8327   0.9503   0.8876
00166_style0      0.5500   0.7097   0.8540   0.5890   0.8926   0.7097
00166_style1      0.2586   0.4109   0.4267   0.2586   1.0000   0.4109
00166_style2      0.2708   0.4262   0.4617   0.2708   1.0000   0.4262
00166_style3      0.2609   0.4139   0.4338   0.2609   1.0000   0.4139
00166_style4      0.7277   0.8424   0.9255   0.7301   0.9955   0.8424
00166_style5      0.6602   0.7953   0.9030   0.6877   0.9428   0.7953
00166_style6      0.5712   0.7271   0.8501   0.5717   0.9984   0.7271
