======================================================================
EVALUATION RESULTS - CORRECT VERSION
======================================================================

Model: resnet50
Checkpoint: ./model/resnet50-unet-aug/loss3_bce_ftv_lap/resnet50_best_dice.pth
Test set: ./dataset/augmented/test
Num samples: 522
Mask encoding: 0=background, >0=disease

IOU: 0.2394 ± 0.2007
DICE: 0.3475 ± 0.2428
ACCURACY: 0.5888 ± 0.2581
PRECISION: 0.2671 ± 0.2344
RECALL: 0.8685 ± 0.1880
F1: 0.3475 ± 0.2428


PER-IMAGE RESULTS:
Name                 IoU     Dice      Acc     Prec   Recall       F1
----------------------------------------------------------------------
00006             0.1200   0.2143   0.8168   0.1375   0.4862   0.2143
00006_style0      0.1023   0.1855   0.5620   0.1026   0.9705   0.1855
00006_style1      0.0537   0.1019   0.0938   0.0537   1.0000   0.1019
00006_style2      0.0583   0.1102   0.1703   0.0583   1.0000   0.1102
00006_style3      0.0587   0.1109   0.1758   0.0587   1.0000   0.1109
00006_style4      0.1282   0.2273   0.7955   0.1410   0.5851   0.2273
00006_style5      0.1203   0.2148   0.8118   0.1367   0.5010   0.2148
00006_style6      0.1259   0.2237   0.6650   0.1270   0.9391   0.2237
00006_style7      0.0880   0.1617   0.7363   0.0966   0.4948   0.1617
00025             0.1337   0.2359   0.7594   0.1365   0.8685   0.2359
00025_style0      0.0720   0.1343   0.4596   0.0721   0.9804   0.1343
00025_style1      0.0444   0.0850   0.0797   0.0444   1.0000   0.0850
00025_style2      0.0498   0.0949   0.1841   0.0498   1.0000   0.0949
00025_style3      0.0481   0.0917   0.1536   0.0481   1.0000   0.0917
00025_style4      0.1105   0.1991   0.6637   0.1108   0.9776   0.1991
00025_style5      0.1255   0.2229   0.7395   0.1278   0.8741   0.2229
00025_style6      0.0913   0.1674   0.6155   0.0922   0.9040   0.1674
00025_style7      0.1290   0.2285   0.7638   0.1328   0.8182   0.2285
00027             0.5852   0.7383   0.9723   0.6171   0.9189   0.7383
00027_style0      0.0970   0.1769   0.6042   0.0970   1.0000   0.1769
00027_style1      0.0453   0.0868   0.1046   0.0453   1.0000   0.0868
00027_style2      0.0828   0.1529   0.5289   0.0828   1.0000   0.1529
00027_style3      0.0734   0.1367   0.4630   0.0734   1.0000   0.1367
00027_style4      0.1171   0.2096   0.6793   0.1171   1.0000   0.2096
00027_style5      0.2585   0.4108   0.8796   0.2594   0.9864   0.4108
00027_style6      0.1584   0.2735   0.7741   0.1584   1.0000   0.2735
00027_style7      0.5241   0.6877   0.9642   0.5464   0.9278   0.6877
00030             0.4381   0.6092   0.8457   0.5483   0.6854   0.6092
00030_style0      0.2796   0.4370   0.6279   0.2975   0.8229   0.4370
00030_style1      0.1872   0.3154   0.2383   0.1872   1.0000   0.3154
00030_style2      0.2465   0.3956   0.4874   0.2494   0.9559   0.3956
00030_style3      0.3005   0.4621   0.6155   0.3062   0.9414   0.4621
00030_style4      0.3396   0.5070   0.7157   0.3644   0.8331   0.5070
00030_style5      0.3396   0.5070   0.7174   0.3653   0.8283   0.5070
00030_style6      0.3196   0.4844   0.6696   0.3335   0.8847   0.4844
00030_style7      0.2845   0.4430   0.7669   0.3815   0.5282   0.4430
00032             0.0082   0.0162   0.6856   0.0084   0.2559   0.0162
00032_style0      0.0102   0.0202   0.4653   0.0103   0.5433   0.0202
00032_style1      0.0107   0.0212   0.0657   0.0107   1.0000   0.0212
00032_style2      0.0115   0.0228   0.1855   0.0115   0.9390   0.0228
00032_style3      0.0112   0.0222   0.1740   0.0112   0.9252   0.0222
00032_style4      0.0146   0.0288   0.5047   0.0147   0.7244   0.0288
00032_style5      0.0115   0.0228   0.5466   0.0116   0.5217   0.0228
00032_style6      0.0114   0.0226   0.5444   0.0115   0.5197   0.0226
00032_style7      0.0065   0.0128   0.7023   0.0066   0.1909   0.0128
00044             0.3820   0.5528   0.8267   0.4578   0.6975   0.5528
00044_style0      0.3021   0.4640   0.6890   0.3155   0.8765   0.4640
00044_style1      0.1617   0.2784   0.2038   0.1617   1.0000   0.2784
00044_style2      0.1864   0.3142   0.3296   0.1864   1.0000   0.3142
00044_style3      0.1854   0.3128   0.3309   0.1857   0.9914   0.3128
00044_style4      0.3777   0.5483   0.7908   0.4102   0.8267   0.5483
00044_style5      0.3335   0.5002   0.8517   0.5187   0.4829   0.5002
